objectid,park_name,site_number,table_count,permittable,comments,data_source,lat,lng
295,Frank Glavin Playground,0,4,N,Fixed picnic tables,"Nearmap 2023; Capital drawings 2023",39.986577637269846,-75.1013488105719
296,Frank Glavin Playground,0,1,N,Fixed picnic table,"Nearmap 2023; Capital drawings 2023",39.986224923485366,-75.1013945962286
297,George Jacobs Playground,0,3,N,Installed during 2023 renovations,"Nearmap 2023; Capital drawings 2023",40.052343566086925,-75.00249133872252
298,12th and Cambria Playground,0,2,N,Fixed Tables,Nearmap 2023,39.996865004283876,-75.14983240849297
299,Joseph A Ferko Playground,0,5,N,Fixed Tables,Nearmap 2023,40.01481476246983,-75.10540647839422
300,Charles J Ziehler Playground,0,3,N,Fixed Tables,Nearmap 2023,40.033736152235555,-75.11818874079353
301,Northwood Park,0,3,N,"2 Full Sized Tables, 1 Kids Table",Nearmap 2023,40.022458350098354,-75.09303620300776
302,Lawncrest Recreation Center,0,3,N, ,Nearmap 2023,40.04584835959466,-75.1006749813665
303,Lawncrest Recreation Center,0,5,N, ,Nearmap 2023,40.04624053580622,-75.10063896533485
304,Lawncrest Recreation Center,0,2,N, ,Nearmap 2023,40.045850925942,-75.10113153505321
305,Lawncrest Recreation Center,0,2,N, ,Nearmap 2023,40.0457041019978,-75.10081763733041
306,Alfred J Simpson Memorial Recreation Center,0,2,N, ,Nearmap 2023,40.021611942228546,-75.0933109017385
307,Boniface Piccoli Playground,0,3,N,Fixed tables,Nearmap 2023,40.01297963074613,-75.09729015243866
308,Womrath Park,0,2,N,Fixed tables,Nearmap 2023,40.00806918528848,-75.09081150845715
309,Juniata Park Older Adult Center,0,2,N, ,Nearmap 2023,40.00384364998274,-75.10434753083707
310,Konrad Square,0,2,N,Fixed tables,Nearmap 2023,39.97920320751611,-75.12770104456096
311,Hagert Street Playground,0,3,N,Fixed tables,Nearmap 2023,39.98346565479385,-75.12824099676388
312,Thomas P Stokley Recreation Center,0,2,N,Fixed tables,Nearmap 2023,39.982019545789434,-75.10692710501617
